x,is_hedge_fund
10x capital spac sponsor ii llc,N
10x capital spac sponsor iii llc,N
"hale partnership capital management, llc",Y
"philotimo fund, lp",Y
cannell capital llc,Y
blackstone tactital opportunities management associates (cayman) - nq l.p.,N
"abeec 2.0, llc",N
"200 park avenue partners, llc",N
orbimed israel biofund gp limited partnership,N
"acuta capital partners, llc",Y
thiel peter,N
"angelo gordon & co., l.p.",Y
"abri ventures i, llc",N
"casdin capital, llc",Y
"redmile group, llc",Y
"edenbrook capital, llc",Y
"carrick management partners ii, llc",N
ace so5 holdings ltd,N
"ra capital management, l.p.",Y
starboard value lp,Y
davidson kempner capital management lp,Y
"acres share holdings, llc",N
acri capital sponsor llc,N
orbimed advisors llc,Y
"polaris venture partners v, l.p.",N
mithril ii lp,N
"adimab, llc",N
m28 capital management lp,Y
"population health equity partners iii, l.p.",N
everest hill group inc.,N
"deerfield/rab ventures, llc",N
"oep vii gp, l.l.c.",Y
"skyknight aero holdings, llc",N
"peloton equity aerocare spv i, l.p.",N
auven therapeutics holdings lp,N
"growth equity opportunities fund iv, llc",N
abingworth llp,N
caligan partners lp,N
robert bosch gmbh,N
ads-tec holding gmbh,N
"international value advisers, llc",Y
"h.i.g. growth - adtheorent, llc",N
"versant venture capital vii, l.p.",N
karman topco l.p.,N
"sonic fund ii, l.p.",N
baker bros. advisors lp,Y
ig4 capital infrastructure investments lp,N
atif holdings ltd,N
"sofinnova venture partners x, l.p.",N
"atlas venture associates xii, llc",N
avoro capital advisors llc,Y
"green equity investors v, l.p.",N
peak asia investment holdings v ltd,N
"hainan runming biotechnology co., ltd.",N
hainan oriental jiechuang investment partnership (limited partnership),N
aetherium capital holdings llc,N
"lux venture partners iv, llc",N
canaan xi l.p.,N
"hill country asset management, lp.",N
"nexxus capital private equity fund vi, l.p.",N
"psp agfs holdings, l.p.",N
aib llc,N
fivet investment management ltd,N
ainos inc,N
unistar group holdings ltd.,N
northern shore group ltd,N
"sc master holdings, llc",N
"new enterprise associates 16, l.p.",N
"5am ventures v, l.p.",Y
"pivotal bioventure partners fund i, l.p.",N
hudson executive capital lp,Y
stonepeak magnet holdings lp,N
"hps investment partners, llc",Y
"bain capital credit, lp",Y
"cannae holdings, inc.",N
blackstone holdings iii l.p.,N
"versant venture capital vi, l.p.",N
sarissa capital management lp,Y
allied special opportunity ltd,N
knighted pastures llc,N
"element partners, llc",N
outerbridge capital management llc,N
lynrock lake lp,Y
"elevatebio, llc",N
globeways holdings ii ltd,N
aei acquisition co llc,N
ahac sponsor llc,N
squadron capital llc,N
alsp orchid sponsor llc,N
erop capital llc,N
thirty 05 llc,N
altenergy acquisition sponsor llc,N
"venrock healthcare capital partners ii, l.p.",N
gso altus holdings lp,N
"cbre acquisition sponsor, llc",N
aztiq pharma partners s.a r.l.,N
logos global management lp,Y
"lsv associates, llc",N
venbio global strategic fund ii l.p.,N
"camac fund, lp",N
"silver lake group, l.l.c.",N
"gamco investors, inc. et al",N
brookfield asset management inc.,Y
brookfield asset management reinsurance partners ltd.,N
"voss capital, llc",Y
"hallador alternative assets fund, llc",N
american realty investors inc,N
phillips ryan t,N
mastec inc,N
"pensare sponsor group, llc",N
"navigation capital partners ii, l.p.",N
ribbon communications inc.,N
perceptive advisors llc,Y
"ancora advisors, llc",Y
"sc us (ttgp), ltd.",N
"amprius, inc.",N
"gate city capital management, llc",N
century city international holdings ltd.,N
morningside venture investments ltd,N
"ecor1 capital fund, l.p.",N
"ecor1 capital, llc",N
"vivaldi capital management, llc",Y
esjay llc,N
blackstone holdings ii l.p.,N
crs holdings inc.,N
"sixth street partners management company, l.p.",N
ldb 2014 llc,N
bc partners holdings ltd,N
"inclusive capital partners, l.p.",Y
"epiq capital group, llc",Y
tang capital partners lp,N
adams street partners llc,Y
"funicular fund, lp",N
"new enterprise associates 15, l.p.",N
"sr one capital management, llc",Y
aria renewable energy systems llc,N
archaea energy llc,N
"general atlantic, l.p.",Y
gilead sciences inc,N
"frazier life sciences viii, l.p.",N
"bain capital life sciences fund, l.p.",N
fs equity partners v lp,N
arisz investment llc,N
davidson kempner partners,Y
armada sponsor llc,N
"innoviva, inc.",N
esopus creek value series fund lp - series a,Y
centricus heritage llc,N
d2bw ltd,N
opaleye management inc.,Y
"juniper investment company, llc",Y
impactive capital lp,Y
"crowdex investment, llc",N
"bd1 investment holding, llc",N
"cygnus capital, inc.",N
spring creek capital llc,N
calm waters partnership,N
highbridge capital management llc,Y
invesat llc,N
vodafone ventures ltd,N
"sherpaventures fund ii, lp",N
robinson family ventures inc.,N
boston & saranac llc,N
325 capital llc,N
"bain capital life sciences fund ii, l.p.",N
gic private ltd,N
taheebo holdings llc,N
kyma capital ltd,N
athena consumer acquisition sponsor llc,N
athena technology sponsor llc,N
"athena technology sponsor ii, llc",N
"apollo management holdings gp, llc",N
fortress investment group llc,Y
"knighthead capital management, llc",Y
palm management (us) llc,N
"broadbill partners gp, llc",N
atlas technical consultants holdings lp,N
boxwood sponsor llc,N
"pte holdings, inc.",N
"dcm vi, l.p.",N
"mckesson ventures, llc",N
augusta investments inc.,N
"matrix capital management company, lp",Y
medicxi growth i lp,N
novator capital sponsor ltd.,N
index venture growth associates iii ltd,N
"uber technologies, inc",N
blackstone inc,N
"rtw investments, lp",Y
"flagship venturelabs iv, llc",N
"glycodots, llc",N
t-viii pubopps lp,N
axonprime infrastructure sponsor llc,N
"armistice capital, llc",Y
"highcape partners, l.p.",N
"dj fund investments, llc - series e",N
"b. riley financial, inc.",N
camelot event-driven advisors llc,Y
"intercontinental exchange, inc.",N
"patriot financial partners iii, l.p.",N
ejam new media holdings ltd,N
ibex investors llc,Y
"glenview capital management, llc",Y
levan partners llc,N
"townsend battery partners, llc",N
lcp edge holdco llc,N
"legion partners asset management, llc",Y
rc ventures llc,N
amgen inc,N
"buildgroup management, llc",N
"indaba capital management, l.p.",Y
arc global investments llc,N
"khosla ventures associates v, llc",N
sb global advisors ltd,N
canyon capital advisors llc,Y
"decheng capital china life sciences usd fund iii, l.p.",N
"macellum advisors gp, llc",Y
"mill road capital iii, l.p.",N
"bbai ultimate holdings, llc",N
"gigacquisitions4, llc",N
"soleus private equity fund i, l.p.",N
"roumell asset management, llc",N
magnetar financial llc,Y
"cormorant global healthcare master fund, lp",N
apeiron investment group ltd.,N
evergreen solutions ltd.,N
timber pharmaceuticals llc,N
bioplus sponsor llc,N
geney development ltd,N
"smart dine, llc",N
jorgensen samuel paul,N
abed equities inc,N
act iii holdings llc,N
"toronto dominion investments, inc.",N
"colony capital, inc.",Y
jupiter sponsor llc,N
new enterprise associates 10 l p,N
"coliseum capital management, llc",N
"nbsh acquisition, llc",N
"cincinnati cornerstone investors bwv i, llc",N
"cincytech fund iv, llc",N
blue whale sponsor i llc,N
blue world holdings ltd,N
"schechter private capital, llc",N
"lm funding america, inc.",N
a-b parent llc,N
acm arrt vii d llc,N
hamilton lane advisors llc,N
"aeon co., ltd.",N
k laser technology inc.,N
"auto services company, inc.",N
manchester management co llc,N
"abbhi investments, llc",N
lancaster brazil fund lp,N
engaged capital llc,Y
"ault global holdings, inc.",N
l5 capital inc.,N
morse robert randolph,N
"eidos therapeutics, inc.",N
bridgetown llc/cayman,N
"new enterprise associates 17, l.p.",N
"greenspring associates, llc",Y
solus alternative asset management lp,Y
"bain capital credit member, llc",N
"capital corps, llc",N
mena energy services holdings ltd,N
brookline capital holdings llc,N
"bain capital venture fund 2012, l.p.",N
"solas capital management, llc",Y
cardboard box llc,N
burtech lp llc,N
"flint consulting services, llc",N
"white knight co., ltd.",N
longview investors llc,N
"jonah peretti, llc",N
new enterprise associates 13 lp,N
byte holdings lp,N
"cobro ventures opportunity fund, l.p.",N
"b. riley asset management, llc",Y
goldentree asset management lp,Y
ares management llc,Y
takeda pharmaceutical co ltd,N
pep tg investments lp,N
ddfs partnership lp,N
"westriver management, llc",N
"jb investments management, llc",Y
"cascade investment, l.l.c.",N
tci fund management ltd,Y
fivemore fund ltd,N
third point llc,Y
remarkable views consultants ltd.,N
dd global holdings ltd,N
"pangaea ventures, l.p.",Y
conversant capital llc,Y
"acorn bioventures, l.p.",N
"o.m. investment group, inc.",N
"trp capital partners, lp",N
carlyle group management l.l.c.,N
carney technology sponsor ii llc,N
"cartica acquisition partners, llc",N
"viridian, llc",N
"jec ii associates, llc",N
"next meats holdings, inc.",N
d1 capital partners l.p.,Y
rothermere continuation ltd,N
viking global investors lp,Y
oaktree capital management lp,Y
"strategic value partners, llc",Y
"oh cypress aggregator, l.p.",N
"technology crossover management ix, ltd.",N
ewing morris & co. investment partners ltd.,N
high income securities fund,N
"growth equity opportunities 18 vge, llc",N
"twc tech holdings ii, llc",N
dragasac ltd,N
china leader group ltd,N
ck hutchison holdings ltd,N
"colgate energy partners iii, llc",N
"saba capital management, l.p.",Y
tvm life science innovation i l.p.,N
"koito manufacturing co., ltd.",N
"aviat networks, inc.",N
pfizer inc,N
"bc perception holdings, lp",N
"cfac holdings iv, llc",N
"cfac holdings vi, llc",N
"cfac holdings vii, llc",N
"cf acquisition holdings viii, llc",N
"cf finance holdings ii, llc",N
"cf finance holdings iii, llc",N
charah holdings lp,N
"q-grg vii (cp) investment partners, llc",N
silver ring value partners fund lp,Y
rc cake holdings llc,N
goldenmountain solution inc.,N
fang holdings ltd,N
evenstar capital management ltd,N
general atlantic llc,Y
ever alpha global ltd,N
dasheng global ltd,N
"samsara biocapital, l.p.",Y
mph acquisition holdings llc,N
"engine capital, l.p.",Y
"lionbridge capital i, lp",Y
sisecam chemicals usa inc.,N
"city national rochdale, llc",Y
"kimmeridge energy management company, llc",Y
"green equity investors vii, l.p.",N
"h.i.g.-gpii, inc.",N
"thomas, mcnerney & partners, llc",N
"black diamond financial group, llc",N
clearone inc,N
"schultze special purpose acquisition sponsor, llc",N
sch sponsor iii llc,N
"yntegra capital investments, llc",N
"lishui yilian enterprise management consulting co., ltd.",N
"northpond ventures, lp",N
"arch venture fund viii, l.p.",N
driver management co llc,N
"bios memory spv i, lp",N
neuberger berman group llc,N
colony bankcorp inc,N
olma capital management ltd,N
"pl capital advisors, llc",Y
ferneau philip,N
"llr equity partners iv, l.p.",N
roman dbdr tech sponsor llc,N
"tenzing global management, llc",Y
"pine investor, llc",N
"qurate retail, inc.",N
"charter communications, inc. /mo/",N
concord sponsor group llc,N
"bitnile holdings, inc.",N
"stephens group, llc",N
"searchlight iii cvl, l.p.",N
consonance capital management lp,Y
"black diamond capital management, l.l.c.",Y
long bar latam llc,N
percy rockdale llc,N
mason capital management llc,Y
carlton james ltd.,N
elliott investment management l.p.,Y
coronado group llc,N
anglogold ashanti ltd,N
queluz holdings ltd.,N
"p2 capital partners, llc",Y
kkr rainbow aggregator l.p.,N
"nierenberg investment management company, inc.",Y
pt independence energy holdings llc,N
independence energy aggregator l.p.,N
oasis petroleum inc.,N
first reserve gp xiii ltd,N
abdiel qualified master fund lp,Y
"simcoe capital management, llc",Y
anderson philip j,N
crym co-invest lp,N
spartan energy holdco llc,N
"cima telecom, inc.",N
ubs oncology impact fund l.p.,N
dievini hopp biotech holding gmbh & co kg,N
hendricks factual media llc,N
voce capital management llc,Y
"vista equity partners fund vi, l.p.",N
da32 sponsor llc,N
"section 32 fund 3, lp",N
"deerfield management company, l.p. (series c)",Y
"arch venture fund xi, l.p.",N
"jd.com, inc.",N
rales mitchell p,N
"cerberus capital management, l.p.",Y
gold intellect ltd,N
lyons phillip n.,N
"select equity group, l.p.",Y
kkr credit advisors (us) llc,Y
"wilks brothers, llc",N
ai day1 llc,N
gaelic resources ltd,N
"d. e. shaw & co, l.p.",Y
may davis partners acquisition co llc,N
"bulldog investors, llp",Y
"rosalind advisors, inc.",N
diac sponsor llc,N
sr one capital fund i aggregator lp,N
fulop ric,N
lcla daylight lp,N
waha capital pjsc,N
santa monica partners lp,Y
"encap energy capital fund x, l.p.",N
"sands capital life sciences pulse fund ii, l.p.",N
post road special opportunity fund ii lp,N
tcm strategic partners l.p.,N
dhc investments ltd,N
clairvest group inc,N
"prism data, llc",N
arc global investments ii llc,N
"access industries management, llc",N
"22nw fund, lp",Y
"bulldog investors, llc",Y
dixie group inc,N
mantle ridge lp,Y
"foundation capital viii, l.p.",N
"doubleu games co., ltd",N
tencent holdings ltd,N
huya inc.,N
"karpus management, inc.",N
disco (guernsey) holdings l.p. inc.,N
maso capital investments ltd,N
thomas h lee partners lp,N
"vida ventures ii, llc",N
"marathon partners equity management, llc",Y
"insight holdings group, llc",N
temasek holdings (private) ltd,N
"francisco partners iii (cayman), l.p.",N
nan fung group holdings ltd,N
"longitude capital partners iv, llc",N
"warburg pincus private equity (e&p) xi-a, l.p.",N
"cypress investments, llc",N
"adage capital partners gp, l.l.c.",Y
double ventures holdings ltd,N
"go ek ventures iv, llc",N
kennedy lewis management lp,Y
paloma partners management co,Y
clark orient (bvi) ltd,N
"u.s. venture partners xi, l.p.",N
american physicians llc,N
us venture partners x lp,N
"column group ii, lp",N
plazacorp investments ltd,N
ameriprise financial inc,N
gk partners aps,N
"fs capital partners v, llc",N
sachem head capital management lp,Y
activist investing llc,N
summers value fund lp,Y
phitech management llc,N
"venbio global strategic fund iii, l.p.",N
ai eti llc,N
advent life sciences llp,N
"energy evolution master fund, ltd.",Y
"endeavor executive holdco, llc",N
"cohanzick management, llc",Y
daily success development ltd,N
helena special investments llc,N
"idealab studio, llc",N
"incj, ltd.",N
ent4.0 technology sponsor llc,N
blue ant media inc.,N
"mpm bioventures 2014, l.p.",N
new finance consultants ltd,N
tethys fountain ltd.,N
blackrock inc.,N
"ecoark holdings, inc.",N
"va partners i, llc",N
"altenergy, llc",N
epiphany technology sponsor llc,N
sb management ltd,N
"ah bio fund ii, l.p.",N
"decheng capital global life sciences fund iv, l.p.",N
mdc industry holding co llc,N
custodian ventures llc.,N
"cormorant asset management, lp",Y
"hony capital fund v, l.p.",N
"tpg group holdings (sbs) advisors, inc.",N
"cycle capital fund iii, l.p.",N
breakthrough energy investments llc,N
famatown finance ltd,N
"embraer aircraft holding, inc.",N
evergreen llc,N
alphaeon 1 llc,N
"lux venture partners iii, llc",N
"finback evolv, llc",N
"data collective iv, l.p.",N
"general catalyst gp v, llc",N
